sid,grp,cnd,range,pc1,pc2,pc3,pc4,lrn1,lrn2,lrn3,lrn4
173,1,0,7,0.80000000,0.33333333,0.46666667,0.53333333,10.00000000,10.00000000,10.00000000,10.00000000
174,1,1,6,0.93333333,0.73333333,0.60000000,0.53333333,2.00000000,6.00000000,8.00000000,10.00000000
175,1,1,5,0.73333333,0.73333333,0.53333333,0.40000000,5.00000000,6.00000000,8.00000000,10.00000000
176,1,1,2,0.73333333,0.60000000,0.66666667,0.60000000,4.00000000,8.00000000,8.00000000,8.00000000
177,1,0,9,0.93333333,0.33333333,0.53333333,0.53333333,10.00000000,5.00000000,5.00000000,5.00000000
178,1,0,3,0.46666667,0.60000000,0.40000000,0.60000000,9.00000000,9.00000000,9.00000000,9.00000000
179,1,1,4,0.80000000,0.53333333,0.60000000,0.53333333,7.00000000,9.00000000,9.00000000,10.00000000
180,1,1,4,0.66666667,0.46666667,0.40000000,0.40000000,1.00000000,1.00000000,1.00000000,1.00000000
181,1,0,5,0.53333333,0.73333333,0.46666667,0.40000000,4.00000000,4.00000000,4.00000000,4.00000000
182,1,1,6,0.86666667,0.60000000,0.46666667,0.46666667,10.00000000,10.00000000,10.00000000,10.00000000
183,1,1,4,0.46666667,0.66666667,0.46666667,0.40000000,1.00000000,1.00000000,1.00000000,4.00000000
184,1,0,4,0.53333333,0.66666667,0.66666667,0.40000000,10.00000000,10.00000000,10.00000000,10.00000000
185,1,1,10,0.80000000,0.20000000,0.13333333,0.46666667,3.00000000,10.00000000,10.00000000,10.00000000
186,1,1,6,0.73333333,0.33333333,0.73333333,0.73333333,2.00000000,2.00000000,1.00000000,3.00000000
187,1,0,2,0.53333333,0.60000000,0.66666667,0.53333333,9.00000000,7.00000000,8.00000000,9.00000000
188,1,1,6,0.86666667,0.53333333,0.73333333,0.46666667,9.00000000,3.00000000,7.00000000,2.00000000
189,1,1,6,0.40000000,0.80000000,0.80000000,0.66666667,10.00000000,2.00000000,3.00000000,8.00000000
190,1,0,7,0.86666667,0.40000000,0.73333333,0.73333333,7.00000000,7.00000000,7.00000000,7.00000000
191,1,0,2,0.53333333,0.53333333,0.46666667,0.40000000,5.00000000,6.00000000,8.00000000,9.00000000
192,1,0,5,0.60000000,0.26666667,0.33333333,0.46666667,9.00000000,9.00000000,9.00000000,9.00000000
193,1,1,5,0.66666667,0.73333333,0.40000000,0.46666667,6.00000000,6.00000000,10.00000000,7.00000000
194,1,0,7,0.73333333,1.00000000,0.53333333,0.60000000,7.00000000,5.00000000,10.00000000,10.00000000
195,1,1,11,1.00000000,0.80000000,0.66666667,0.26666667,8.00000000,7.00000000,7.00000000,4.00000000
196,1,0,6,0.86666667,0.80000000,0.60000000,0.46666667,4.00000000,6.00000000,8.00000000,10.00000000
197,1,1,10,0.66666667,1.00000000,0.66666667,0.33333333,4.00000000,1.00000000,10.00000000,10.00000000
198,1,0,6,0.60000000,0.73333333,0.66666667,0.33333333,8.00000000,3.00000000,8.00000000,8.00000000
199,1,1,10,0.86666667,0.53333333,0.20000000,0.46666667,2.00000000,7.00000000,9.00000000,9.00000000
200,1,0,4,0.93333333,0.93333333,0.73333333,0.66666667,4.00000000,4.00000000,9.00000000,7.00000000
201,1,1,4,0.46666667,0.66666667,0.40000000,0.40000000,8.00000000,8.00000000,8.00000000,8.00000000
202,1,0,6,0.46666667,0.66666667,0.80000000,0.40000000,5.00000000,3.00000000,3.00000000,9.00000000
203,1,0,7,0.80000000,0.80000000,0.86666667,0.40000000,8.00000000,8.00000000,9.00000000,10.00000000
204,1,0,7,0.73333333,0.86666667,0.93333333,0.46666667,3.00000000,10.00000000,10.00000000,3.00000000
205,1,1,7,0.80000000,0.66666667,0.46666667,0.33333333,2.00000000,2.00000000,9.00000000,9.00000000
206,1,0,3,0.60000000,0.40000000,0.53333333,0.40000000,10.00000000,4.00000000,7.00000000,10.00000000
207,1,1,4,0.80000000,0.66666667,0.53333333,0.66666667,10.00000000,10.00000000,10.00000000,10.00000000
