sid,grp,cnd,fam,tid,tord,pc_grand,pc_first,pc_last,dpc,alltime,freetime,nblocks,avstreak,lrn,int,comp,time,prog,rule,lrn2,nlrn,nint,ncomp,ntime,nprog,nrule,nlrn2
154,S,i+,Bunny,1_1D,2,0.7125,0.6,0.8666666666666667,0.2666666666666667,0.25806451612903225,0.26,2,32.5,9,8,4,7,10,10,3,1.8928571428571432,0.8928571428571432,-3.1071428571428568,-0.10714285714285676,2.8928571428571432,2.8928571428571432,-4.107142857142857
154,S,i+,Squid,2_I1D,4,0.9285714285714286,0.9333333333333333,1.0,0.06666666666666665,0.45161290322580644,0.5,6,20.833333333333332,4,7,3,9,10,10,3,-3.1071428571428568,-0.10714285714285676,-4.107142857142857,1.8928571428571432,2.8928571428571432,2.8928571428571432,-4.107142857142857
154,S,i+,Green,3_2D,3,0.625,0.4,0.8,0.4,0.15483870967741936,0.132,2,16.5,6,8,9,7,8,7,8,-1.1071428571428568,0.8928571428571432,1.8928571428571432,-0.10714285714285676,0.8928571428571432,-0.10714285714285676,0.8928571428571432
154,S,i+,Bear,4_R,1,0.47619047619047616,0.5333333333333333,0.4666666666666667,0.0,0.13548387096774195,0.108,2,13.5,6,9,10,8,3,5,8,-1.1071428571428568,1.8928571428571432,2.8928571428571432,0.8928571428571432,-4.107142857142857,-2.1071428571428568,0.8928571428571432
155,S,i+,Squid,1_1D,4,0.9166666666666666,0.8,0.9333333333333333,0.1333333333333333,0.15483870967741936,0.132,1,33.0,10,1,1,2,10,10,1,3.571428571428571,-5.428571428571429,-5.428571428571429,-4.428571428571429,3.571428571428571,3.571428571428571,-5.428571428571429
155,S,i+,Bear,2_I1D,3,0.9,0.8,0.9333333333333333,0.1333333333333333,0.12903225806451613,0.1,1,25.0,10,5,1,1,9,10,1,3.571428571428571,-1.4285714285714288,-5.428571428571429,-5.428571428571429,2.571428571428571,3.571428571428571,-5.428571428571429
155,S,i+,Bunny,3_2D,2,0.65625,0.7333333333333333,0.5333333333333333,0.0,0.4129032258064516,0.452,2,56.5,10,10,10,9,6,10,5,3.571428571428571,3.571428571428571,3.571428571428571,2.571428571428571,-0.4285714285714288,3.571428571428571,-1.4285714285714288
155,S,i+,Green,4_R,1,0.4148936170212766,0.4,0.4,0.0,0.3032258064516129,0.316,2,39.5,10,10,10,10,2,1,5,3.571428571428571,3.571428571428571,3.571428571428571,3.571428571428571,-4.428571428571429,-5.428571428571429,-1.4285714285714288
156,S,i-,Squid,1_1D,2,0.7272727272727273,0.6,0.8666666666666667,0.2666666666666667,0.1064516129032258,0.072,1,18.0,9,9,3,5,9,9,3,1.8214285714285712,1.8214285714285712,-4.178571428571429,-2.178571428571429,1.8214285714285712,1.8214285714285712,-4.178571428571429
156,S,i-,Green,2_I1D,3,0.6476190476190476,0.5333333333333333,0.8666666666666667,0.33333333333333337,0.3387096774193548,0.36,3,30.0,7,8,7,8,10,10,4,-0.17857142857142883,0.8214285714285712,-0.17857142857142883,0.8214285714285712,2.821428571428571,2.821428571428571,-3.178571428571429
156,S,i-,Bear,3_2D,1,0.7704918032786885,0.7333333333333333,0.8,0.06666666666666676,0.1967741935483871,0.184,2,23.0,7,7,7,7,7,6,8,-0.17857142857142883,-0.17857142857142883,-0.17857142857142883,-0.17857142857142883,-0.17857142857142883,-1.1785714285714288,0.8214285714285712
156,S,i-,Bunny,4_R,4,0.46846846846846846,0.5333333333333333,0.5333333333333333,0.0,0.3580645161290323,0.384,1,96.0,9,8,9,9,4,4,8,1.8214285714285712,0.8214285714285712,1.8214285714285712,1.8214285714285712,-3.178571428571429,-3.178571428571429,0.8214285714285712
157,S,i+,Bunny,1_1D,2,0.8695652173913043,0.8,0.8666666666666667,0.06666666666666665,0.07419354838709677,0.032,1,8.0,3,4,2,1,10,10,1,-2.5357142857142856,-1.5357142857142856,-3.5357142857142856,-4.535714285714286,4.464285714285714,4.464285714285714,-4.535714285714286
157,S,i+,Green,2_I1D,1,0.8,0.8,0.8,0.0,0.04838709677419355,0.0,0,0.0,3,5,2,2,10,9,1,-2.5357142857142856,-0.5357142857142856,-3.5357142857142856,-3.5357142857142856,4.464285714285714,3.4642857142857144,-4.535714285714286
157,S,i+,Bear,3_2D,3,0.8333333333333334,0.9333333333333333,0.7333333333333333,0.0,0.11612903225806452,0.084,2,10.5,8,7,4,4,8,7,3,2.4642857142857144,1.4642857142857144,-1.5357142857142856,-1.5357142857142856,2.4642857142857144,1.4642857142857144,-2.5357142857142856
157,S,i+,Squid,4_R,4,0.4915254237288136,0.4,0.4666666666666667,0.06666666666666665,0.7612903225806451,0.884,4,55.25,10,10,10,10,3,3,5,4.464285714285714,4.464285714285714,4.464285714285714,4.464285714285714,-2.5357142857142856,-2.5357142857142856,-0.5357142857142856
158,S,i-,Squid,1_1D,1,0.46875,0.5333333333333333,0.4,0.0,0.1032258064516129,0.068,1,17.0,1,8,9,6,4,2,9,-4.607142857142857,2.3928571428571432,3.3928571428571432,0.39285714285714324,-1.6071428571428568,-3.6071428571428568,3.3928571428571432
158,S,i-,Bear,2_I1D,2,0.5961538461538461,0.8,0.5333333333333333,0.0,0.16774193548387098,0.148,1,37.0,1,9,1,8,8,8,7,-4.607142857142857,3.3928571428571432,-4.607142857142857,2.3928571428571432,2.3928571428571432,2.3928571428571432,1.3928571428571432
158,S,i-,Bunny,3_2D,4,0.6551724137931034,0.8,0.5333333333333333,0.0,0.0935483870967742,0.056,1,14.0,1,4,2,5,9,10,2,-4.607142857142857,-1.6071428571428568,-3.6071428571428568,-0.6071428571428568,3.3928571428571432,4.392857142857143,-3.6071428571428568
158,S,i-,Green,4_R,3,0.5482233502538071,0.7333333333333333,0.6666666666666666,0.0,0.635483870967742,0.728,3,60.666666666666664,1,9,5,8,6,7,7,-4.607142857142857,3.3928571428571432,-0.6071428571428568,2.3928571428571432,0.39285714285714324,1.3928571428571432,1.3928571428571432
159,S,i-,Bunny,1_1D,1,0.803030303030303,0.5333333333333333,0.9333333333333333,0.4,0.2129032258064516,0.204,1,51.0,8,7,2,9,9,7,7,0.9642857142857144,-0.03571428571428559,-5.035714285714286,1.9642857142857144,1.9642857142857144,-0.03571428571428559,-0.03571428571428559
159,S,i-,Green,2_I1D,4,0.7924528301886793,0.8,0.8666666666666667,0.06666666666666665,0.3419354838709677,0.364,2,45.5,8,7,2,9,8,7,7,0.9642857142857144,-0.03571428571428559,-5.035714285714286,1.9642857142857144,0.9642857142857144,-0.03571428571428559,-0.03571428571428559
159,S,i-,Squid,3_2D,3,0.6212121212121212,0.5333333333333333,0.5333333333333333,0.0,0.2129032258064516,0.204,1,51.0,8,7,8,9,4,7,7,0.9642857142857144,-0.03571428571428559,0.9642857142857144,1.9642857142857144,-3.0357142857142856,-0.03571428571428559,-0.03571428571428559
159,S,i-,Bear,4_R,2,0.5416666666666666,0.5333333333333333,0.3333333333333333,0.0,0.23225806451612904,0.228,1,57.0,8,7,8,9,4,7,7,0.9642857142857144,-0.03571428571428559,0.9642857142857144,1.9642857142857144,-3.0357142857142856,-0.03571428571428559,-0.03571428571428559
160,S,i+,Bunny,1_1D,1,0.8151260504201681,0.6666666666666666,0.9333333333333333,0.2666666666666667,0.38387096774193546,0.416,2,52.0,10,10,2,3,10,10,1,3.428571428571429,3.428571428571429,-4.571428571428571,-3.571428571428571,3.428571428571429,3.428571428571429,-5.571428571428571
160,S,i+,Squid,2_I1D,4,0.734375,0.4,0.8666666666666667,0.4666666666666667,0.2064516129032258,0.196,2,24.5,10,4,5,6,7,10,1,3.428571428571429,-2.571428571428571,-1.5714285714285712,-0.5714285714285712,0.4285714285714288,3.428571428571429,-5.571428571428571
160,S,i+,Green,3_2D,2,0.7341772151898734,0.5333333333333333,0.9333333333333333,0.4,0.25483870967741934,0.256,1,64.0,10,3,8,8,7,9,1,3.428571428571429,-3.571428571428571,1.4285714285714288,1.4285714285714288,0.4285714285714288,2.428571428571429,-5.571428571428571
160,S,i+,Bear,4_R,3,0.5,0.5333333333333333,0.4666666666666667,0.0,0.15483870967741936,0.132,2,16.5,10,6,10,9,2,2,10,3.428571428571429,-0.5714285714285712,3.428571428571429,2.428571428571429,-4.571428571428571,-4.571428571428571,3.428571428571429
161,S,i-,Green,1_1D,1,0.6666666666666666,0.4666666666666667,0.6666666666666666,0.19999999999999996,0.15483870967741936,0.132,1,33.0,8,1,1,10,10,10,1,2.6071428571428568,-4.392857142857143,-4.392857142857143,4.607142857142857,4.607142857142857,4.607142857142857,-4.392857142857143
161,S,i-,Squid,2_I1D,3,0.9371980676328503,0.7333333333333333,1.0,0.2666666666666667,0.667741935483871,0.768,3,64.0,3,1,1,10,10,10,1,-2.3928571428571432,-4.392857142857143,-4.392857142857143,4.607142857142857,4.607142857142857,4.607142857142857,-4.392857142857143
161,S,i-,Bunny,3_2D,2,0.65625,0.8,0.5333333333333333,0.0,0.1032258064516129,0.068,2,8.5,3,10,10,3,1,3,5,-2.3928571428571432,4.607142857142857,4.607142857142857,-2.3928571428571432,-4.392857142857143,-2.3928571428571432,-0.39285714285714324
161,S,i-,Bear,4_R,4,0.6086956521739131,0.6,0.5333333333333333,0.0,0.07419354838709677,0.032,1,8.0,8,10,10,2,1,3,5,2.6071428571428568,4.607142857142857,4.607142857142857,-3.3928571428571432,-4.392857142857143,-2.3928571428571432,-0.39285714285714324
