"","sid","grp","trial","blkt","current","nxt","tord:1","tord:2","tord:3","tord:4","pct:1","pct:2","pct:3","pct:4","pc:1","pc:2","pc:3","pc:4","pcr:1","pcr:2","pcr:3","pcr:4","pval:1","pval:2","pval:3","pval:4","relt:1","relt:2","relt:3","relt:4","sc:1","sc:2","sc:3","sc:4","scsq:1","scsq:2","scsq:3","scsq:4","currentd:1","currentd:2","currentd:3","currentd:4","lrn:1","lrn:2","lrn:3","lrn:4","int:1","int:2","int:3","int:4","comp:1","comp:2","comp:3","comp:4","time:1","time:2","time:3","time:4","prog:1","prog:2","prog:3","prog:4","rule:1","rule:2","rule:3","rule:4","lrn2:1","lrn2:2","lrn2:3","lrn2:4"
"62302",248,1,158,40,"3","1",2,3,1,4,0.666666666666667,0.266666666666667,0.666666666666667,0.2,0.666666666666667,0.575,0.709090909090909,0.4375,0.8,1,1,1,0.091644287109375,0.0807016283943085,0.000825707594367259,0.0792761030742213,0.10126582278481,0.246835443037975,0.348101265822785,0.30379746835443,0,0.0916666666666667,-0.0424242424242425,0.229166666666667,0,0.00840277777777778,0.0017998163452709,0.0525173611111111,0,0,1,0,0,1,0,1,0,0,0,1,0,0.222222222222222,0.555555555555556,1,0,0.5,0.166666666666667,1,1,0.75,0.875,0,1,1,1,0,0,0,0,1
"62342",248,1,198,40,"1","4",2,3,1,4,0.666666666666667,0.266666666666667,0.666666666666667,0.2,0.781818181818182,0.575,0.709090909090909,0.4375,0.8,1,1,1,1.21771965136408e-05,0.0807016283943085,0.000825707594367259,0.0792761030742213,0.277777777777778,0.196969696969697,0.277777777777778,0.247474747474747,-0.206818181818182,0,-0.134090909090909,0.1375,0.0427737603305785,0,0.0179803719008265,0.01890625,1,0,0,0,0,1,0,1,0,0,0,1,0,0.222222222222222,0.555555555555556,1,0,0.5,0.166666666666667,1,1,0.75,0.875,0,1,1,1,0,0,0,0,1
"62389",248,1,245,47,"4","2",2,3,1,4,0.666666666666667,0.266666666666667,0.666666666666667,0.2,0.781818181818182,0.575,0.709090909090909,0.463157894736842,0.8,1,1,0.2,1.21771965136408e-05,0.0807016283943085,0.000825707594367259,0.0632419763055959,0.224489795918367,0.163265306122449,0.224489795918367,0.387755102040816,-0.206818181818182,0,-0.134090909090909,0.111842105263158,0.0427737603305785,0,0.0179803719008265,0.0125086565096953,0,0,0,1,0,1,0,1,0,0,0,1,0,0.222222222222222,0.555555555555556,1,0,0.5,0.166666666666667,1,1,0.75,0.875,0,1,1,1,0,0,0,0,1
"62427",248,1,283,38,"2","4",2,3,1,4,0.666666666666667,0.266666666666667,0.666666666666667,0.2,0.781818181818182,0.692307692307692,0.709090909090909,0.463157894736842,0.8,0.8,1,0.2,1.21771965136408e-05,0.00026160575315759,0.000825707594367259,0.0632419763055959,0.19434628975265,0.27208480565371,0.19434628975265,0.339222614840989,-0.31866028708134,-0.22914979757085,-0.245933014354067,0,0.101544378562762,0.0525096297267616,0.0604830475492777,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.222222222222222,0.555555555555556,1,0,0.5,0.166666666666667,1,1,0.75,0.875,0,1,1,1,0,0,0,0,1
"62465",249,1,71,11,"1","3",1,4,2,3,0.666666666666667,0.933333333333333,0.666666666666667,0.266666666666667,0.769230769230769,0.933333333333333,0.666666666666667,0.266666666666667,1,1,1,0.2,0.00343069434165955,0.000457763671875,0.091644287109375,0.041656494140625,0.352112676056338,0.211267605633803,0.225352112676056,0.211267605633803,-0.102564102564103,-0.266666666666667,0,0.4,0.0105193951347798,0.0711111111111111,0,0.16,1,0,0,0,0.25,0,0.75,1,0.8,0.8,0.8,0.8,0.111111111111111,0,0.666666666666667,1,0.111111111111111,0,0.444444444444444,1,0.375,0.375,1,0,1,1,1,0,0,0,0,1
"62485",249,1,91,20,"3","2",1,4,2,3,0.666666666666667,0.933333333333333,0.666666666666667,0.266666666666667,0.769230769230769,0.933333333333333,0.657142857142857,0.266666666666667,1,1,0.6,0.2,0.00343069434165955,0.000457763671875,0.0242857437115163,0.041656494140625,0.274725274725275,0.175824175824176,0.384615384615385,0.164835164835165,-0.112087912087912,-0.276190476190476,0,0.39047619047619,0.0125637000362275,0.076281179138322,0,0.152471655328798,0,0,1,0,0.25,0,0.75,1,0.8,0.8,0.8,0.8,0.111111111111111,0,0.666666666666667,1,0.111111111111111,0,0.444444444444444,1,0.375,0.375,1,0,1,1,1,0,0,0,0,1
"62488",249,1,94,3,"2","4",1,4,2,3,0.666666666666667,0.933333333333333,0.666666666666667,0.266666666666667,0.769230769230769,0.944444444444444,0.657142857142857,0.266666666666667,1,1,0.6,0.2,0.00343069434165955,6.866455078125e-05,0.0242857437115163,0.041656494140625,0.265957446808511,0.191489361702128,0.372340425531915,0.170212765957447,-0.112087912087912,-0.287301587301587,0,0.39047619047619,0.0125637000362275,0.0825422020660116,0,0.152471655328798,0,1,0,0,0.25,0,0.75,1,0.8,0.8,0.8,0.8,0.111111111111111,0,0.666666666666667,1,0.111111111111111,0,0.444444444444444,1,0.375,0.375,1,0,1,1,1,0,0,0,0,1
"62543",249,1,149,55,"4","3",1,4,2,3,0.666666666666667,0.933333333333333,0.666666666666667,0.266666666666667,0.769230769230769,0.944444444444444,0.657142857142857,0.514285714285714,1,1,0.6,0.2,0.00343069434165955,6.866455078125e-05,0.0242857437115163,0.0923858770533005,0.167785234899329,0.120805369127517,0.241610738255034,0.469798657718121,-0.112087912087912,-0.287301587301587,0,0.142857142857143,0.0125637000362275,0.0825422020660116,0,0.0204081632653061,0,0,0,1,0.25,0,0.75,1,0.8,0.8,0.8,0.8,0.111111111111111,0,0.666666666666667,1,0.111111111111111,0,0.444444444444444,1,0.375,0.375,1,0,1,1,1,0,0,0,0,1
"62605",249,1,211,62,"3","4",1,4,2,3,0.666666666666667,0.933333333333333,0.666666666666667,0.266666666666667,0.769230769230769,0.944444444444444,0.742268041237113,0.514285714285714,1,1,1,0.2,0.00343069434165955,6.866455078125e-05,6.3913300521024e-07,0.0923858770533005,0.118483412322275,0.0853080568720379,0.459715639810427,0.336492890995261,-0.254945054945055,-0.43015873015873,-0.227982326951399,0,0.0649969810409371,0.185036533131771,0.0519759414021747,0,0,0,1,0,0.25,0,0.75,1,0.8,0.8,0.8,0.8,0.111111111111111,0,0.666666666666667,1,0.111111111111111,0,0.444444444444444,1,0.375,0.375,1,0,1,1,1,0,0,0,0,1
"62767",250,1,123,63,"4","1",1,3,4,2,0.533333333333333,0.666666666666667,0.533333333333333,0.4,0.533333333333333,0.666666666666667,0.533333333333333,0.525641025641026,0.6,1,0.4,0.6,0.196380615234375,0.091644287109375,0.196380615234375,0.0813776575133872,0.130081300813008,0.121951219512195,0.121951219512195,0.626016260162602,0.133333333333333,0,0.133333333333333,0.141025641025641,0.0177777777777778,0,0.0177777777777778,0.0198882314266929,0,0,0,1,1,1,1,1,0.125,0,0.625,1,0,0.111111111111111,0.666666666666667,1,0,0,0.5,1,1,1,0.6,0,1,1,0.571428571428571,0,0,0,0.428571428571429,1
