"","form","nvars","sing","loglik","mfR2","accuracy","AIC","BIC","xtime"
"524153","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + blkt","17","FALSE","-2158.5463334433","0.264632202533788","0.476683937823834","4365.0926668866","4500.94671796748","0.768"
"524154","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + scsq + lrn + int + comp + time + prog + rule + lrn2 | trial + blkt","17","FALSE","-2158.12363517866","0.264776206249181","0.47621290626472","4364.24727035731","4500.10132143819","1.041"
"524155","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + scsq + lrn + int + comp + time + prog + rule | grp + trial + blkt","17","FALSE","-2158.40278238135","0.264681107126021","0.472444653791804","4368.8055647627","4515.98078676698","0.94"
"524156","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + scsq + lrn + int + comp + time + prog + lrn2 | grp + trial + blkt","17","FALSE","-2158.04202829214","0.264804007865235","0.47197362223269","4368.08405658428","4515.25927858856","1.087"
"524157","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + scsq + lrn + int + comp + time + rule + lrn2 | grp + trial + blkt","17","FALSE","-2158.4467428266","0.264666130798991","0.478097032501178","4368.89348565319","4516.06870765748","0.854"
"524158","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + scsq + lrn + int + comp + prog + rule + lrn2 | grp + trial + blkt","17","FALSE","-2219.74281888007","0.243783947385831","0.450777202072539","4491.48563776015","4638.66085976443","1.01"
"524159","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + scsq + lrn + int + time + prog + rule + lrn2 | grp + trial + blkt","17","FALSE","-2157.60824000727","0.264951789699086","0.475741874705605","4367.21648001455","4514.39170201883","0.804"
"524160","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + scsq + lrn + comp + time + prog + rule + lrn2 | grp + trial + blkt","17","FALSE","-2159.60554009639","0.264271354841304","0.48469147432878","4371.21108019278","4518.38630219706","0.91"
"524161","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + scsq + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","17","FALSE","-2158.59640463218","0.264615144414947","0.47197362223269","4369.19280926435","4516.36803126864","0.973"
"524162","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + lrn + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","17","FALSE","-2158.41964739385","0.264675361598622","0.472915685350918","4368.83929478771","4516.01451679199","0.829"
"524163","nxt ~ currentd + tord + pct + pcr + pc + pval + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + trial","17","TRUE",NA,NA,NA,NA,NA,"0.337"
"524164","nxt ~ currentd + tord + pct + pcr + pc + pval + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.093"
"524165","nxt ~ currentd + tord + pct + pcr + pc + pval + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.339"
"524166","nxt ~ currentd + tord + pct + pcr + pc + pval + sc + scsq + lrn + int + comp + time + prog + rule | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.329"
"524167","nxt ~ currentd + tord + pct + pcr + pc + pval + sc + scsq + lrn + int + comp + time + prog + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.063"
"524168","nxt ~ currentd + tord + pct + pcr + pc + pval + sc + scsq + lrn + int + comp + time + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.088"
"524169","nxt ~ currentd + tord + pct + pcr + pc + pval + sc + scsq + lrn + int + comp + prog + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.103"
"524170","nxt ~ currentd + tord + pct + pcr + pc + pval + sc + scsq + lrn + int + time + prog + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.066"
"524171","nxt ~ currentd + tord + pct + pcr + pc + pval + sc + scsq + lrn + comp + time + prog + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.064"
"524172","nxt ~ currentd + tord + pct + pcr + pc + pval + sc + scsq + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.13"
